visual,aural,read_write,kinesthetic,recurso
4,5,3,4,audio
3,4,1,8,actividad
4,4,2,6,actividad
3,5,5,3,audio
4,2,4,6,actividad
5,7,1,3,audio
2,3,8,3,texto
3,5,6,2,texto
8,2,3,3,video
4,2,5,5,texto
4,5,3,4,audio
1,4,5,6,actividad
3,4,5,4,texto
3,5,3,5,audio
3,2,6,5,texto
5,6,4,1,audio
2,5,4,5,audio
6,4,3,3,video
8,1,1,6,video
6,3,3,4,video
4,6,6,0,audio
4,4,4,4,video
6,5,2,3,video
5,6,3,2,audio
8,0,4,4,video
4,4,5,3,texto
4,6,4,2,audio
4,7,2,3,audio
3,6,4,3,audio
6,3,6,1,video
2,6,5,3,audio
3,4,2,7,actividad
5,2,5,4,video
2,4,4,6,actividad
4,3,4,5,actividad
4,3,3,6,actividad
4,8,2,2,audio
4,4,5,3,texto
4,4,6,2,texto
5,4,1,6,actividad
3,4,5,4,texto
5,2,1,8,actividad
6,3,5,2,video
7,4,3,2,video
3,3,7,3,texto
3,5,4,4,audio
9,5,1,1,video
5,2,6,3,texto
5,3,4,4,video
7,4,2,3,video
2,4,5,5,texto
5,7,1,3,audio
1,4,5,6,actividad
4,5,3,4,audio
3,6,4,3,audio
6,5,2,3,video
2,4,3,7,actividad
3,4,2,7,actividad
6,5,1,4,video
9,2,3,2,video
3,3,8,2,texto
6,3,4,3,video
3,3,3,7,actividad
5,1,3,7,actividad
7,3,3,3,video
5,4,2,5,video
9,1,4,2,video
3,2,4,7,actividad
5,4,3,4,video
5,1,7,3,texto
1,4,4,7,actividad
3,6,4,3,audio
4,4,3,5,actividad
9,3,2,2,video
5,4,5,2,video
7,1,5,3,video
3,4,3,6,actividad
6,1,6,3,video
4,6,3,3,audio
2,8,3,3,audio
1,6,4,5,audio
4,4,4,4,video
3,6,2,5,audio
3,7,2,4,audio
3,2,8,3,texto
2,7,4,3,audio
1,5,6,4,texto
3,5,2,6,actividad
5,4,3,4,video
3,7,2,4,audio
3,4,7,2,texto
2,5,5,4,audio
1,4,4,7,actividad
4,6,2,4,audio
3,4,5,4,texto
4,4,3,5,actividad
4,6,3,3,audio
7,4,3,2,video
1,4,4,7,actividad
6,5,3,2,video
5,5,3,3,video
7,1,6,2,video
3,1,5,7,actividad
3,3,7,3,texto
4,4,2,6,actividad
1,5,4,6,actividad
4,3,5,4,texto
7,6,2,1,video
6,1,3,6,video
6,5,0,5,video
3,5,5,3,audio
5,5,1,5,video
8,3,1,4,video
4,4,4,4,video
3,4,5,4,texto
7,5,2,2,video
3,4,4,5,actividad
4,6,3,3,audio
1,3,8,4,texto
4,3,3,6,actividad
3,8,0,5,audio
7,4,1,4,video
6,4,2,4,video
3,4,3,6,actividad
7,1,4,4,video
4,4,4,4,video
3,5,4,4,audio
3,6,4,3,audio
2,4,6,4,texto
5,2,4,5,video
7,6,2,1,video
4,4,5,3,texto
5,5,2,4,video
4,4,5,3,texto
5,3,5,3,video
6,4,3,3,video
3,7,4,2,audio
2,6,2,6,audio
3,6,5,2,audio
5,1,7,3,texto
2,5,4,5,audio
8,1,5,2,video
5,1,2,8,actividad
1,5,6,4,texto
5,3,3,5,video
2,5,2,7,actividad
1,5,6,4,texto
2,7,2,5,audio
4,6,4,2,audio
3,3,3,7,actividad
7,2,2,5,video
4,4,3,5,actividad
2,4,3,7,actividad
7,4,2,3,video
4,4,3,5,actividad
7,3,5,1,video
3,3,6,4,texto
5,1,5,5,video
0,8,3,5,audio
7,1,5,3,video
3,7,4,2,audio
2,6,3,5,audio
2,5,5,4,audio
5,6,3,2,audio
3,3,9,1,texto
5,3,5,3,video
3,3,8,2,texto
2,3,3,8,actividad
2,7,1,6,audio
6,3,3,4,video
1,3,5,7,actividad
4,1,2,9,actividad
3,8,2,3,audio
5,4,2,5,video
5,5,3,3,video
3,3,4,6,actividad
3,4,4,5,actividad
2,5,6,3,texto
4,2,5,5,texto
5,3,3,5,video
2,7,5,2,audio
2,4,5,5,texto
3,7,3,3,audio
4,3,4,5,actividad
6,4,5,1,video
4,4,5,3,texto
3,4,4,5,actividad
5,4,3,4,video
5,3,5,3,video
3,9,3,1,audio
6,4,5,1,video
5,2,3,6,actividad
3,5,4,4,audio
3,7,1,5,audio
4,6,5,1,audio
2,4,6,4,texto
5,3,3,5,video
5,4,3,4,video
5,2,5,4,video
2,7,2,5,audio
4,4,4,4,video
6,7,1,2,audio
3,5,5,3,audio
6,2,6,2,video
3,5,4,4,audio
2,7,5,2,audio
4,2,7,3,texto
3,6,4,3,audio
4,4,3,5,actividad
4,4,4,4,video
4,0,7,5,texto
4,5,3,4,audio
2,4,7,3,texto
6,1,4,5,video
4,4,4,4,video
3,3,5,5,texto
3,3,5,5,texto
3,4,5,4,texto
4,2,5,5,texto
3,6,3,4,audio
3,5,3,5,audio
4,6,5,1,audio
10,2,3,1,video
5,3,3,5,video
6,2,8,0,texto
8,4,2,2,video
5,4,1,6,actividad
5,2,3,6,actividad
1,5,7,3,texto
4,3,5,4,texto
5,2,5,4,video
4,5,4,3,audio
3,4,4,5,actividad
4,3,5,4,texto
6,4,3,3,video
6,3,3,4,video
3,2,5,6,actividad
6,1,4,5,video
6,1,6,3,video
3,3,3,7,actividad
3,2,6,5,texto
5,5,2,4,video
5,2,3,6,actividad
2,8,5,1,audio
3,8,3,2,audio
3,4,5,4,texto
2,6,5,3,audio
4,4,4,4,video
4,1,5,6,actividad
0,4,8,4,texto
6,4,4,2,video
5,5,3,3,video
6,3,4,3,video
3,4,6,3,texto
6,4,3,3,video
3,5,6,2,texto
4,3,7,2,texto
2,1,5,8,actividad
5,6,2,3,audio
3,4,4,5,actividad
2,6,4,4,audio
5,4,4,3,video
6,3,6,1,video
4,5,3,4,audio
3,6,3,4,audio
6,3,0,7,actividad
4,3,4,5,actividad
5,5,2,4,video
2,6,6,2,audio
4,3,5,4,texto
3,4,3,6,actividad
5,0,9,2,texto
1,7,3,5,audio
5,2,3,6,actividad
7,5,1,3,video
5,0,5,6,actividad
3,5,5,3,audio
1,3,4,8,actividad
4,4,3,5,actividad
3,6,2,5,audio
5,0,3,8,actividad
1,3,6,6,texto
2,5,4,5,audio
2,3,3,8,actividad
2,4,5,5,texto
2,5,3,6,actividad
3,5,6,2,texto
4,5,4,3,audio
2,3,5,6,actividad
5,5,3,3,video
4,4,1,7,actividad
3,4,3,6,actividad
4,6,4,2,audio
3,6,4,3,audio
7,2,3,4,video
3,6,2,5,audio
4,5,3,4,audio
6,3,5,2,video
2,7,4,3,audio
3,6,2,5,audio
7,5,2,2,video
6,3,4,3,video
5,3,3,5,video
6,3,5,2,video
5,3,2,6,actividad
3,4,7,2,texto
5,3,5,3,video
7,4,0,5,video
3,3,6,4,texto
6,1,4,5,video
5,4,4,3,video
5,5,3,3,video
4,3,4,5,actividad
5,1,8,2,texto
2,1,9,4,texto
5,5,1,5,video
4,5,4,3,audio
4,6,3,3,audio
5,3,3,5,video
5,3,4,4,video
4,3,6,3,texto
3,2,6,5,texto
4,2,8,2,texto
5,6,4,1,audio
2,4,6,4,texto
7,1,4,4,video
3,4,5,4,texto
4,6,2,4,audio
6,2,3,5,video
3,6,4,3,audio
2,5,4,5,audio
3,2,5,6,actividad
3,2,6,5,texto
2,7,2,5,audio
5,3,4,4,video
5,4,6,1,texto
6,4,3,3,video
4,5,2,5,audio
4,2,3,7,actividad
2,7,3,4,audio
4,2,5,5,texto
3,3,4,6,actividad
6,1,6,3,video
4,6,2,4,audio
3,4,6,3,texto
1,5,7,3,texto
2,6,4,4,audio
5,3,4,4,video
4,3,6,3,texto
3,7,3,3,audio
4,2,6,4,texto
4,5,3,4,audio
2,2,6,6,texto
3,2,4,7,actividad
2,8,2,4,audio
4,5,3,4,audio
3,7,3,3,audio
4,3,5,4,texto
1,6,8,1,texto
5,4,3,4,video
3,6,3,4,audio
3,2,5,6,actividad
1,5,6,4,texto
5,5,1,5,video
1,7,3,5,audio
4,2,4,6,actividad
2,7,2,5,audio
2,9,4,1,audio
3,3,7,3,texto
4,3,4,5,actividad
4,5,4,3,audio
4,4,3,5,actividad
8,0,3,5,video
4,5,5,2,audio
2,5,6,3,texto
6,3,5,2,video
4,3,7,2,texto
3,3,4,6,actividad
4,6,4,2,audio
6,6,2,2,video
4,5,5,2,audio
4,4,2,6,actividad
3,5,5,3,audio
4,2,4,6,actividad
1,2,4,9,actividad
3,4,4,5,actividad
4,4,5,3,texto
5,5,5,1,video
2,3,7,4,texto
5,3,3,5,video
7,2,4,3,video
3,3,4,6,actividad
3,3,5,5,texto
7,4,3,2,video
5,4,3,4,video
3,6,4,3,audio
3,2,8,3,texto
3,6,3,4,audio
2,1,4,9,actividad
2,6,4,4,audio
3,5,2,6,actividad
5,2,4,5,video
3,4,5,4,texto
5,4,5,2,video
4,3,1,8,actividad
2,4,9,1,texto
6,2,3,5,video
4,3,4,5,actividad
6,2,5,3,video
4,3,4,5,actividad
4,5,5,2,audio
6,2,7,1,texto
8,4,3,1,video
5,1,4,6,actividad
3,2,5,6,actividad
4,2,6,4,texto
6,2,2,6,video
1,4,5,6,actividad
3,2,7,4,texto
7,2,3,4,video
5,5,3,3,video
5,3,4,4,video
3,3,10,0,texto
1,9,3,3,audio
5,4,4,3,video
3,6,3,4,audio
3,4,3,6,actividad
4,5,4,3,audio
4,5,5,2,audio
4,3,3,6,actividad
3,5,6,2,texto
3,6,2,5,audio
1,10,1,4,audio
4,5,5,2,audio
5,4,4,3,video
8,2,2,4,video
4,2,4,6,actividad
2,4,4,6,actividad
1,7,5,3,audio
7,4,4,1,video
9,1,3,3,video
3,4,5,4,texto
5,3,5,3,video
4,3,5,4,texto
3,4,3,6,actividad
4,3,2,7,actividad
7,2,2,5,video
1,7,3,5,audio
3,2,6,5,texto
3,5,5,3,audio
1,4,6,5,texto
3,5,4,4,audio
5,2,3,6,actividad
2,3,7,4,texto
5,3,3,5,video
0,6,6,4,audio
2,5,3,6,actividad
4,4,5,3,texto
4,3,7,2,texto
5,4,5,2,video
2,3,4,7,actividad
5,3,6,2,texto
6,3,2,5,video
6,1,4,5,video
6,4,2,4,video
4,3,3,6,actividad
3,7,4,2,audio
3,5,5,3,audio
2,5,3,6,actividad
5,6,2,3,audio
4,6,4,2,audio
5,5,4,2,video
4,2,8,2,texto
6,2,2,6,video
5,5,4,2,video
2,4,4,6,actividad
3,5,4,4,audio
6,5,4,1,video
4,2,7,3,texto
5,4,4,3,video
4,4,5,3,texto
6,2,4,4,video
3,8,3,2,audio
4,2,4,6,actividad
3,4,3,6,actividad
7,3,5,1,video
4,4,5,3,texto
3,4,5,4,texto
7,4,2,3,video
5,3,5,3,video
2,5,4,5,audio
3,3,7,3,texto
5,6,1,4,audio
4,1,7,4,texto
3,6,6,1,audio
5,0,3,8,actividad
6,2,3,5,video
1,9,3,3,audio
3,6,3,4,audio
7,2,4,3,video
7,4,1,4,video
5,6,2,3,audio
1,2,5,8,actividad
3,5,5,3,audio
6,5,1,4,video
1,8,2,5,audio
1,5,7,3,texto
4,5,5,2,audio
5,4,5,2,video
3,2,6,5,texto
2,7,6,1,audio
3,5,5,3,audio
5,5,2,4,video
2,5,5,4,audio
3,7,3,3,audio
1,6,3,6,audio
5,2,4,5,video
3,4,5,4,texto
5,4,6,1,texto
4,5,3,4,audio
4,3,3,6,actividad
2,3,6,5,texto
2,6,5,3,audio
1,6,6,3,audio
4,3,3,6,actividad
3,5,2,6,actividad
8,3,3,2,video
3,7,2,4,audio
4,5,3,4,audio
5,3,3,5,video
5,2,4,5,video
6,8,1,1,audio
7,3,2,4,video
7,1,3,5,video
4,7,5,0,audio
4,3,4,5,actividad
6,3,4,3,video
5,1,5,5,video
2,3,4,7,actividad
2,3,5,6,actividad
5,4,3,4,video
4,3,5,4,texto
4,3,6,3,texto
6,5,0,5,video
3,1,8,4,texto
7,3,5,1,video
4,6,5,1,audio
3,6,4,3,audio
3,5,6,2,texto
4,0,6,6,texto
4,6,4,2,audio
3,2,7,4,texto
4,9,1,2,audio
7,2,2,5,video
5,4,3,4,video
4,7,3,2,audio
8,4,1,3,video
6,2,6,2,video
4,4,4,4,video
2,3,6,5,texto
2,8,3,3,audio
5,2,3,6,actividad
3,3,4,6,actividad
6,4,4,2,video
5,6,3,2,audio
4,5,2,5,audio
3,6,7,0,texto
4,6,3,3,audio
5,2,5,4,video
3,7,2,4,audio
6,5,3,2,video
6,4,2,4,video
4,2,2,8,actividad
1,2,3,10,actividad
3,3,2,8,actividad
6,5,3,2,video
1,3,7,5,texto
5,7,3,1,audio
3,4,6,3,texto
8,4,2,2,video
3,7,1,5,audio
5,3,4,4,video
6,4,3,3,video
7,4,2,3,video
6,5,3,2,video
6,4,2,4,video
2,6,6,2,audio
7,5,1,3,video
3,4,7,2,texto
2,5,7,2,texto
3,2,5,6,actividad
5,3,4,4,video
2,4,6,4,texto
1,4,3,8,actividad
4,6,3,3,audio
5,2,7,2,texto
6,2,5,3,video
5,3,3,5,video
5,4,3,4,video
7,0,9,0,texto
6,3,3,4,video
2,6,3,5,audio
6,1,3,6,video
4,7,3,2,audio
2,5,6,3,texto
3,5,3,5,audio
3,4,4,5,actividad
4,4,3,5,actividad
6,7,3,0,audio
1,3,6,6,texto
3,5,4,4,audio
2,0,8,6,texto
4,2,7,3,texto
4,3,7,2,texto
6,4,3,3,video
4,3,3,6,actividad
6,1,3,6,video
2,8,4,2,audio
5,4,6,1,texto
4,4,5,3,texto
4,5,6,1,texto
6,4,5,1,video
7,3,1,5,video
5,4,4,3,video
6,2,2,6,video
4,4,6,2,texto
5,5,5,1,video
4,2,5,5,texto
3,5,4,4,audio
6,1,7,2,texto
2,6,4,4,audio
4,4,6,2,texto
2,5,4,5,audio
4,2,4,6,actividad
9,3,3,1,video
2,4,4,6,actividad
5,2,2,7,actividad
3,3,7,3,texto
7,3,3,3,video
2,7,0,7,audio
5,6,3,2,audio
3,2,6,5,texto
6,2,4,4,video
4,4,4,4,video
1,4,5,6,actividad
6,4,1,5,video
3,5,5,3,audio
6,1,2,7,actividad
7,4,2,3,video
1,2,7,6,texto
4,4,4,4,video
5,3,4,4,video
7,4,3,2,video
3,7,3,3,audio
5,2,4,5,video
5,3,5,3,video
5,4,3,4,video
4,6,1,5,audio
1,2,6,7,actividad
5,3,5,3,video
5,1,5,5,video
7,5,4,0,video
5,2,3,6,actividad
3,5,2,6,actividad
7,3,1,5,video
1,3,6,6,texto
4,2,5,5,texto
3,2,5,6,actividad
5,6,2,3,audio
1,6,6,3,audio
7,7,1,1,video
4,2,9,1,texto
3,2,5,6,actividad
4,1,6,5,texto
7,4,4,1,video
3,1,4,8,actividad
7,1,3,5,video
4,3,6,3,texto
3,5,6,2,texto
5,1,5,5,video
6,7,2,1,audio
5,1,3,7,actividad
4,3,4,5,actividad
1,5,7,3,texto
6,4,3,3,video
9,3,2,2,video
5,5,3,3,video
1,11,3,1,audio
3,8,3,2,audio
7,4,2,3,video
2,3,7,4,texto
1,8,4,3,audio
4,2,6,4,texto
6,6,2,2,video
1,5,6,4,texto
3,3,5,5,texto
5,2,1,8,actividad
3,8,2,3,audio
5,5,2,4,video
4,6,4,2,audio
2,5,3,6,actividad
6,2,6,2,video
3,5,2,6,actividad
6,2,4,4,video
4,2,6,4,texto
4,4,4,4,video
6,4,3,3,video
6,1,2,7,actividad
3,3,6,4,texto
3,6,4,3,audio
3,4,4,5,actividad
7,1,2,6,video
3,6,5,2,audio
7,4,4,1,video
7,1,4,4,video
3,4,1,8,actividad
4,4,2,6,actividad
7,3,4,2,video
5,3,5,3,video
3,5,4,4,audio
1,5,5,5,audio
2,7,4,3,audio
3,4,2,7,actividad
4,3,4,5,actividad
4,2,4,6,actividad
6,2,4,4,video
1,8,2,5,audio
3,4,2,7,actividad
2,6,1,7,actividad
4,3,6,3,texto
4,2,6,4,texto
3,3,5,5,texto
4,4,5,3,texto
3,3,5,5,texto
5,7,3,1,audio
4,4,2,6,actividad
6,4,5,1,video
4,5,1,6,actividad
2,3,2,9,actividad
2,4,5,5,texto
3,2,4,7,actividad
5,4,3,4,video
4,5,4,3,audio
4,5,4,3,audio
7,2,3,4,video
2,8,2,4,audio
6,2,5,3,video
6,4,3,3,video
0,3,8,5,texto
3,2,8,3,texto
3,2,7,4,texto
5,1,5,5,video
3,3,3,7,actividad
4,3,3,6,actividad
4,5,5,2,audio
4,2,6,4,texto
3,1,4,8,actividad
4,5,2,5,audio
5,4,6,1,texto
2,4,4,6,actividad
5,4,3,4,video
4,5,5,2,audio
6,3,5,2,video
1,4,7,4,texto
3,5,6,2,texto
5,2,4,5,video
7,2,4,3,video
3,3,0,10,actividad
4,5,2,5,audio
4,2,6,4,texto
3,3,4,6,actividad
4,5,3,4,audio
7,4,4,1,video
4,4,3,5,actividad
2,3,4,7,actividad
2,2,7,5,texto
5,1,3,7,actividad
4,5,2,5,audio
6,3,4,3,video
1,10,2,3,audio
1,5,5,5,audio
5,5,1,5,video
5,3,5,3,video
8,3,2,3,video
5,4,4,3,video
3,3,3,7,actividad
1,5,4,6,actividad
3,4,4,5,actividad
2,8,4,2,audio
4,5,3,4,audio
2,5,3,6,actividad
3,8,1,4,audio
8,2,1,5,video
2,3,3,8,actividad
6,1,2,7,actividad
6,2,4,4,video
3,3,4,6,actividad
5,3,4,4,video
4,7,2,3,audio
3,4,2,7,actividad
5,3,6,2,texto
4,4,3,5,actividad
2,5,5,4,audio
4,2,2,8,actividad
5,4,2,5,video
3,6,3,4,audio
3,4,6,3,texto
3,5,4,4,audio
1,5,4,6,actividad
2,5,4,5,audio
6,2,4,4,video
3,4,4,5,actividad
4,6,2,4,audio
4,8,0,4,audio
4,3,2,7,actividad
6,3,7,0,texto
7,3,1,5,video
2,3,7,4,texto
3,2,3,8,actividad
6,3,5,2,video
3,4,4,5,actividad
5,4,5,2,video
1,3,7,5,texto
3,6,4,3,audio
5,4,5,2,video
3,3,6,4,texto
7,5,0,4,video
4,4,6,2,texto
2,4,7,3,texto
4,4,5,3,texto
1,4,6,5,texto
4,4,5,3,texto
5,6,3,2,audio
1,7,3,5,audio
5,7,2,2,audio
3,4,3,6,actividad
5,3,2,6,actividad
2,3,5,6,actividad
3,4,7,2,texto
2,7,3,4,audio
3,3,7,3,texto
4,5,3,4,audio
5,2,3,6,actividad
4,4,4,4,video
7,4,3,2,video
5,1,6,4,texto
5,4,4,3,video
8,2,2,4,video
3,3,5,5,texto
4,3,5,4,texto
4,7,5,0,audio
5,2,6,3,texto
4,3,6,3,texto
4,6,2,4,audio
4,0,5,7,actividad
2,1,4,9,actividad
3,5,1,7,actividad
4,4,4,4,video
5,5,3,3,video
3,6,4,3,audio
6,4,3,3,video
4,4,3,5,actividad
3,6,6,1,audio
3,6,1,6,audio
4,7,3,2,audio
4,4,4,4,video
4,5,3,4,audio
4,0,6,6,texto
3,7,3,3,audio
3,3,6,4,texto
6,2,4,4,video
3,3,6,4,texto
5,4,2,5,video
5,6,2,3,audio
4,4,3,5,actividad
7,4,3,2,video
4,3,4,5,actividad
3,3,2,8,actividad
5,4,5,2,video
2,6,5,3,audio
4,5,5,2,audio
3,3,5,5,texto
3,6,3,4,audio
4,4,4,4,video
6,5,2,3,video
7,1,3,5,video
3,4,6,3,texto
5,6,3,2,audio
3,3,6,4,texto
4,5,6,1,texto
5,3,3,5,video
3,1,7,5,texto
6,3,3,4,video
5,2,5,4,video
3,4,3,6,actividad
4,4,1,7,actividad
3,3,6,4,texto
7,1,7,1,video
3,6,4,3,audio
5,7,0,4,audio
2,5,7,2,texto
3,3,4,6,actividad
2,5,5,4,audio
2,7,3,4,audio
3,2,8,3,texto
2,4,5,5,texto
2,3,4,7,actividad
6,2,3,5,video
7,3,4,2,video
4,4,4,4,video
5,2,6,3,texto
2,6,3,5,audio
6,2,0,8,actividad
5,3,1,7,actividad
8,2,3,3,video
1,4,4,7,actividad
3,7,4,2,audio
5,7,2,2,audio
5,4,2,5,video
4,6,4,2,audio
4,5,5,2,audio
4,4,4,4,video
5,3,2,6,actividad
5,3,6,2,texto
5,2,2,7,actividad
8,3,3,2,video
2,6,4,4,audio
0,2,8,6,texto
4,4,5,3,texto
4,1,5,6,actividad
5,7,2,2,audio
3,4,3,6,actividad
3,6,3,4,audio
8,2,2,4,video
3,4,4,5,actividad
3,4,4,5,actividad
5,5,4,2,video
3,7,4,2,audio
3,7,1,5,audio
6,6,2,2,video
1,8,2,5,audio
5,3,6,2,texto
6,3,5,2,video
6,3,6,1,video
3,3,4,6,actividad
3,6,5,2,audio
3,6,5,2,audio
4,6,4,2,audio
3,4,7,2,texto
5,1,6,4,texto
3,3,6,4,texto
7,4,2,3,video
6,1,4,5,video
3,1,7,5,texto
3,7,3,3,audio
5,4,3,4,video
3,7,2,4,audio
4,3,5,4,texto
2,5,4,5,audio
1,4,5,6,actividad
3,5,6,2,texto
4,6,4,2,audio
1,6,3,6,audio
3,3,8,2,texto
2,4,3,7,actividad
3,7,6,0,audio
4,3,5,4,texto
3,3,8,2,texto
3,5,2,6,actividad
6,2,3,5,video
2,4,6,4,texto
6,4,2,4,video
7,5,1,3,video
7,2,4,3,video
3,5,3,5,audio
4,4,4,4,video
2,5,4,5,audio
4,2,6,4,texto
3,4,4,5,actividad
5,3,4,4,video
4,4,6,2,texto
4,2,5,5,texto
5,4,7,0,texto
4,4,3,5,actividad
3,6,4,3,audio
3,3,5,5,texto
4,5,5,2,audio
6,5,4,1,video
6,1,4,5,video
3,6,2,5,audio
4,6,4,2,audio
4,4,6,2,texto
5,2,6,3,texto
1,2,3,10,actividad
6,5,2,3,video
5,3,5,3,video
4,3,6,3,texto
5,4,1,6,actividad
3,5,4,4,audio
